inference_time,conf_scores,class_names,bboxes
3.8223557472229004,"[100, 100, 100, 99, 99, 98, 97, 97, 96, 95, 90, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person', 'person']","[[149, 130, 204, 278], [347, 90, 401, 299], [301, 128, 365, 294], [499, 156, 541, 264], [537, 175, 567, 255], [435, 184, 470, 264], [597, 121, 638, 281], [577, 141, 615, 270], [238, 209, 313, 293], [298, 224, 319, 269], [550, 187, 571, 253], [426, 164, 447, 199]]"
4.617971181869507,"[100, 100, 99, 99, 99, 99, 99, 96, 90, 84]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[160, 130, 207, 281], [300, 129, 364, 292], [499, 155, 542, 265], [344, 90, 393, 298], [536, 175, 566, 254], [576, 142, 615, 271], [603, 120, 639, 278], [436, 182, 468, 263], [550, 187, 570, 253], [131, 211, 154, 235]]"
3.9064371585845947,"[100, 100, 100, 100, 100, 99, 99, 98, 93, 91, 88, 83]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'handbag']","[[161, 130, 208, 279], [333, 96, 393, 298], [293, 127, 363, 291], [503, 154, 536, 262], [441, 187, 465, 261], [598, 121, 639, 280], [534, 176, 563, 252], [578, 139, 609, 267], [550, 185, 572, 253], [230, 211, 305, 291], [288, 226, 311, 269], [193, 196, 210, 231]]"
4.299869060516357,"[100, 100, 100, 100, 99, 99, 99, 97, 89, 86, 83, 82]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']","[[164, 132, 212, 280], [326, 96, 389, 298], [591, 121, 639, 282], [501, 155, 540, 263], [440, 186, 466, 259], [535, 175, 566, 251], [291, 129, 352, 290], [576, 142, 608, 269], [552, 186, 573, 252], [228, 213, 293, 292], [132, 212, 153, 236], [284, 225, 305, 270]]"
3.434748411178589,"[100, 100, 100, 100, 99, 99, 99, 97, 94, 91, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person']","[[161, 131, 220, 280], [315, 97, 387, 296], [590, 121, 638, 285], [500, 156, 536, 262], [438, 187, 462, 260], [533, 176, 563, 253], [287, 126, 356, 288], [574, 141, 603, 270], [223, 213, 298, 293], [281, 226, 302, 270], [554, 186, 574, 253]]"
4.4457690715789795,"[100, 100, 100, 100, 100, 99, 99, 98, 89, 88, 85]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'handbag', 'backpack']","[[164, 129, 227, 280], [434, 185, 461, 263], [313, 93, 387, 296], [588, 120, 638, 283], [498, 154, 532, 265], [284, 124, 351, 293], [535, 175, 566, 252], [571, 140, 602, 275], [277, 223, 298, 270], [202, 197, 218, 229], [573, 164, 597, 200]]"
3.569551706314087,"[100, 100, 100, 100, 100, 100, 99, 96, 92, 90, 89, 88]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person', 'handbag', 'person']","[[166, 131, 227, 284], [309, 94, 384, 296], [497, 155, 532, 264], [435, 184, 461, 263], [277, 126, 345, 294], [585, 123, 638, 281], [535, 175, 564, 252], [564, 141, 597, 276], [273, 221, 294, 271], [395, 162, 436, 227], [205, 198, 222, 228], [132, 212, 153, 236]]"
4.671795606613159,"[100, 100, 100, 100, 100, 99, 99, 96, 94, 91, 88]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person']","[[167, 131, 221, 284], [313, 92, 385, 300], [277, 127, 335, 299], [494, 155, 529, 265], [432, 184, 459, 264], [582, 123, 635, 281], [534, 175, 564, 253], [388, 161, 431, 213], [559, 144, 595, 272], [269, 223, 291, 270], [131, 212, 153, 236]]"
5.29119873046875,"[100, 100, 100, 100, 100, 100, 99, 97, 93, 90, 81]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']","[[309, 96, 388, 298], [173, 133, 223, 283], [492, 154, 526, 265], [274, 128, 332, 301], [430, 185, 459, 265], [578, 122, 634, 282], [533, 175, 563, 253], [383, 161, 431, 250], [557, 143, 592, 275], [131, 211, 153, 236], [265, 226, 287, 270]]"
4.830204963684082,"[100, 100, 100, 100, 100, 99, 99, 98, 94, 94, 90]","['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag', 'person']","[[170, 132, 226, 289], [295, 95, 384, 297], [492, 154, 523, 265], [268, 128, 330, 294], [571, 126, 633, 282], [531, 175, 563, 253], [428, 185, 458, 266], [376, 160, 428, 211], [559, 141, 588, 278], [261, 225, 284, 270], [131, 212, 153, 237]]"
